0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:37:55 +0200] "POST /Oblig2_oppg1/Handleliste HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:37:55 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 1057
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:37:56 +0200] "POST /Oblig2_oppg1/Handleliste HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:37:56 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 1323
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:37:56 +0200] "POST /Oblig2_oppg1/Handleliste HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:37:56 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 1589
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:37:57 +0200] "POST /Oblig2_oppg1/Handleliste HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:37:57 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 1855
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:39:17 +0200] "GET /Oblig2_oppg1/ HTTP/1.1" 200 745
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:39:22 +0200] "POST /Oblig2_oppg1/Innlogging HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:39:22 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 825
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:39:25 +0200] "POST /Oblig2_oppg1/Handleliste HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:39:25 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 1057
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:39:26 +0200] "POST /Oblig2_oppg1/Handleliste HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2018:15:39:26 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 1323
